
Open,ACCT549V 001,Special Topics in Accounting  (Irregular),Special Topics,Regular Academic Session,1 - 3,1442,Aug 25, 2014,Dec 19, 2014,Tue, Thu  9:30 AM - 10:45 AM,WCOB0405,Linda Myers,8/12,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT549V 002,Special Topics in Accounting  (Irregular),Special Topics,Regular Academic Session,1 - 3,6237,Aug 25, 2014,Dec 19, 2014,Tue, Thu  12:30 PM - 1:45 PM,WJWH0403,Karen Pincus,15/20,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT549V 004,Special Topics in Accounting  (Irregular),Special Topics,Regular Academic Session,1 - 3,7793,Aug 25, 2014,Dec 19, 2014,Tue, Thu  2:00 PM - 3:15 PM,WJWH0403,Karen Pincus,13/20,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT549V 005,Special Topics in Accounting  (Irregular),Special Topics,Regular Academic Session,1 - 3,10966,Aug 25, 2014,Dec 19, 2014,Mon, Wed  11:00 AM - 12:20 PM,WJWH0403,Katie Terrell,33/34,GRAD,WCOB,ACCT,FAY,course material,
Closed,ACCT5873 001,Advanced Taxation  (Fa),Lecture,Regular Academic Session,3,10902,Aug 25, 2014,Dec 19, 2014,Tue, Thu  11:00 AM - 12:15 PM,WJWH0427,T. J. Atwood,30/30,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT5873 002,Advanced Taxation  (Fa),Lecture,Regular Academic Session,3,10903,Aug 25, 2014,Dec 19, 2014,Tue, Thu  9:30 AM - 10:45 AM,WJWH0427,T. J. Atwood,18/30,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT5953 001,Auditing Standards  (Fa),Lecture,Regular Academic Session,3,1444,Aug 25, 2014,Dec 19, 2014,Mon, Wed  3:05 PM - 4:20 PM,WJWH0403,Gary Peters,49/50,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT6013 001,Graduate Colloquium  (Irregular),Lecture,Regular Academic Session,3,5165,Aug 25, 2014,Dec 19, 2014,Fri  8:00 AM - 11:00 AM,WCOB0405,Cory Cassell,6/10,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT636V 001,Special Problems in Accounting  (Sp, Fa),Special Problems,Regular Academic Session,1 - 6,5662,Aug 25, 2014,Dec 19, 2014,   - , ,Vernon Richardson,0/5,GRAD,WCOB,ACCT,FAY,course material,
Closed,ACCT636V 003,Special Problems in Accounting  (Sp, Fa),Special Problems,Regular Academic Session,1 - 6,5867,Aug 25, 2014,Dec 19, 2014,   - , ,Gary Peters,5/5,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT636V 004,Special Problems in Accounting  (Sp, Fa),Special Problems,Regular Academic Session,1 - 6,5879,Aug 25, 2014,Dec 19, 2014,   - , ,Linda Myers,0/5,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT636V 005,Special Problems in Accounting  (Sp, Fa),Special Problems,Eight Week - Second,1 - 6,9748,Oct 15, 2014,Dec 11, 2014,   - , ,Gary Peters,0/5,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT6433 001,Accounting Research Seminar IV  (Irregular),Seminar,Regular Academic Session,3,11059,Aug 25, 2014,Dec 19, 2014,Tue, Thu  12:30 PM - 1:45 PM,WCOB0405,Linda Myers,10/15,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT6633 001,Accounting Research Seminar V  (Irregular),Seminar,Regular Academic Session,3,10492,Aug 25, 2014,Dec 19, 2014,Fri  1:00 PM - 2:00 PM,Fri  8:00 AM - 9:50 AM,WCOB0207,Linda Myers,5/10,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT700V 001,Doctoral Dissertation  (Sp, Fa),Dissertation,Regular Academic Session,1 - 18,1445,Aug 25, 2014,Dec 19, 2014,   - , ,James Myers,2/5,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT700V 002,Doctoral Dissertation  (Sp, Fa),Dissertation,Regular Academic Session,1 - 18,3455,Aug 25, 2014,Dec 19, 2014,   - , ,Gary Peters,0/5,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT700V 003,Doctoral Dissertation  (Sp, Fa),Dissertation,Regular Academic Session,1 - 18,3674,Aug 25, 2014,Dec 19, 2014,   - , ,Vernon Richardson,0/5,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT700V 004,Doctoral Dissertation  (Sp, Fa),Dissertation,Regular Academic Session,1 - 18,6479,Aug 25, 2014,Dec 19, 2014,   - , ,Linda Myers,3/5,GRAD,WCOB,ACCT,FAY,course material,
Closed,ADLL5113 901,Perspectives in Adult Education  (Sp, Fa),Lecture,Regular Academic Session,3,7538,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Kenda Grover,15/15,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL5123 901,Principles and Practices of Adult Learning  (Su, Fa),Lecture,Regular Academic Session,3,7380,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Joshua Collins,14/15,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL5173 901,Program Planning  (Su),Lecture,Regular Academic Session,3,7381,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Carmen Rogers,13/15,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL5213 901,Adult and Lifelong Learning Internship  (Sp, Fa),Internship,Regular Academic Session,3,7377,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Kenda Grover,2/5,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL5223 901,Adult and Lifelong Learning Applied Project  (Sp, Su, Fa),Applied Instruction,Regular Academic Session,3,7382,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Kenda Grover,7/15,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL5233 901,Independent Study  (Sp, Su, Fa),Independent Study,Regular Academic Session,3,10651,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Kenda Grover,1/15,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL6123 901,Leadership and Ethics in Adult and Lifelong Learning  (Irregular),Lecture,Regular Academic Session,3,10653,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Theres Stiefer,14/15,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL6413 901,Quantitative Reasoning in Adult and Lifelong Learning  (Irregular),Lecture,Regular Academic Session,3,10652,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Barton Washer,10/15,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL700V 902,Doctoral Dissertation  (Sp, Su, Fa),Dissertation,Regular Academic Session,1 - 18,7253,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Kenda Grover,3/5,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL700V 903,Doctoral Dissertation  (Sp, Su, Fa),Dissertation,Regular Academic Session,1 - 18,7254,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Michael Miller,1/5,GRAD,EDUC,RHRC,OFF,course material,
Open,ADLL700V 905,Doctoral Dissertation  (Sp, Su, Fa),Dissertation,Regular Academic Session,1 - 18,8443,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Michael Daugherty,0/2,GRAD,EDUC,RHRC,OFF,course material,
Closed,ADLL700V 906,Doctoral Dissertation  (Sp, Su, Fa),Dissertation,Regular Academic Session,1 - 18,8359,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Kit Kacirek,6/5,GRAD,EDUC,RHRC,OFF,course material,
Closed,AERO1011 001,The Foundations of the United States Air Force I  (Fa),Lecture,Regular Academic Session,1,3329,Aug 25, 2014,Dec 19, 2014,Thu  2:00 PM - 2:50 PM,MEMH0324,Ben Young,21/21,UGRD,MILT,AERO,FAY,course material,
Open,AERO1011 003,The Foundations of the United States Air Force I  (Fa),Lecture,Regular Academic Session,1,9550,Aug 25, 2014,Dec 19, 2014,Thu  10:30 AM - 11:20 AM,MEMH0324,Ben Young,15/18,UGRD,MILT,AERO,FAY,course material,
Open,AERO1011 L001,The Foundations of the United States Air Force I  (Fa),Laboratory,Regular Academic Session,1,3330,Aug 25, 2014,Dec 19, 2014,Thu  3:30 PM - 6:30 PM,GRAD0166,Ben Young,35/36,UGRD,MILT,AERO,FAY,course material,
Open,AERO2011 001,The Evolution of Air and Space Power I  (Fa),Lecture,Regular Academic Session,1,3332,Aug 25, 2014,Dec 19, 2014,Thu  12:30 PM - 1:20 PM,MEMH0324,Buster McCall,16/18,UGRD,MILT,AERO,FAY,course material,
Open,AERO2011 002,The Evolution of Air and Space Power I  (Fa),Lecture,Regular Academic Session,1,3333,Aug 25, 2014,Dec 19, 2014,Wed  12:55 PM - 1:55 PM,MEMH0324,Buster McCall,3/18,UGRD,MILT,AERO,FAY,course material,
Open,AERO2011 L001,The Evolution of Air and Space Power I  (Fa),Laboratory,Regular Academic Session,1,3334,Aug 25, 2014,Dec 19, 2014,Thu  3:30 PM - 6:30 PM,GRAD0166,Ben Young,20/36,UGRD,MILT,AERO,FAY,course material,
Open,AERO3013 001,Air Force Leadership Studies I  (Fa),Lecture,Regular Academic Session,3,3335,Aug 25, 2014,Dec 19, 2014,Tue  3:30 PM - 6:30 PM,MEMH0326,Ben Young,8/18,UGRD,MILT,AERO,FAY,course material,
Open,AERO3013 L001,Air Force Leadership Studies I  (Fa),Laboratory,Regular Academic Session,3,3336,Aug 25, 2014,Dec 19, 2014,Thu  3:30 PM - 6:30 PM,GRAD0166,Ben Young,8/18,UGRD,MILT,AERO,FAY,course material,
Open,AERO4013 001,National Security Affairs and Preparation for Active Duty I  (Fa),Lecture,Regular Academic Session,3,3470,Aug 25, 2014,Dec 19, 2014,Tue  3:30 PM - 6:30 PM,MEMH0324,Buster McCall,14/18,UGRD,MILT,AERO,FAY,course material,
Open,AERO4013 L001,National Security Affairs and Preparation for Active Duty I  (Fa),Laboratory,Regular Academic Session,3,3539,Aug 25, 2014,Dec 19, 2014,Thu  3:30 PM - 6:30 PM,GRAD0166,Ben Young,14/18,UGRD,MILT,AERO,FAY,course material,
Closed,AFLS1011H 001,Introduction to the Bumpers College Honors Program  (Fa),Lecture,Eight Week - First,1,4046,Aug 25, 2014,Oct 14, 2014,Mon, Wed  12:55 PM - 1:45 PM,AGRI0332,Curt Rom,28/28,UGRD,AFLS,AFLD,FAY,course material,
Open,AFLS400VH 001,Honors Thesis  (Sp, Su, Fa),Thesis Research,Regular Academic Session,1 - 6,4267,Aug 25, 2014,Dec 19, 2014,   - , ,Curt Rom,20/36,UGRD,AFLS,AFLD,FAY,course material,
Closed,AFLS401VH 001,Honors Special Topics  (Irregular),Special Topics,Regular Academic Session,1 - 3,11606,Aug 25, 2014,Dec 19, 2014,   - , ,Josh Sakon,Ya-Jane Wang,1/1,UGRD,AFLS,AFLD,FAY,course material,
Open,AGEC1103 001,Principles of Agricultural Microeconomics  (Sp, Fa),Lecture,Regular Academic Session,3,2163,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  10:45 AM - 11:35 AM,AFLS0107E,Nathan Kemper,122/150,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC2103 001,Principles of Agricultural Macroeconomics  (Sp, Fa),Lecture,Regular Academic Session,3,2164,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  8:35 AM - 9:25 AM,PTSC0009,Bruce Dixon,54/100,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC2141L 001,Agribusiness Financial Records Lab  (Fa),Laboratory,Regular Academic Session,1,5643,Aug 25, 2014,Dec 19, 2014,Fri  11:50 AM - 12:40 PM,AFLSB108,Michael Popp,26/35,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC2141L 002,Agribusiness Financial Records Lab  (Fa),Laboratory,Regular Academic Session,1,5644,Aug 25, 2014,Dec 19, 2014,Fri  12:55 PM - 1:45 PM,AFLSB108,Michael Popp,32/35,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC2142 001,Agribusiness Financial Records  (Fa),Lecture,Regular Academic Session,2,3639,Aug 25, 2014,Dec 19, 2014,Mon, Wed  12:55 PM - 1:45 PM,PTSC0009,Michael Popp,58/70,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC2403 001,Quantitative Tools for Agribusiness  (Fa),Lecture,Regular Academic Session,3,10360,Aug 25, 2014,Dec 19, 2014,Tue, Thu  9:30 AM - 10:45 AM,GRAD0343,Qiuqiong Huang,28/62,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC3373 001,Futures and Options Markets  (Fa),Lecture,Regular Academic Session,3,10362,Aug 25, 2014,Dec 19, 2014,Tue, Thu  2:00 PM - 3:15 PM,AFLS0107E,Andrew McKenzie,86/90,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC3403 001,Farm Business Management  (Fa),Lecture,Regular Academic Session,3,2165,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  11:50 AM - 12:40 PM,AFLS0107E,Nathan Kemper,122/150,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC3503 001,Agricultural Law I  (Fa),Lecture,Regular Academic Session,3,10361,Aug 25, 2014,Dec 19, 2014,Tue, Thu  8:00 AM - 9:15 AM,POSC0A211,Rusty Rumley,69/75,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC400V 001,Special Problems  (Sp, Su, Fa),Special Problems,Regular Academic Session,1 - 6,3121,Aug 25, 2014,Dec 19, 2014,   - , ,Jennie Popp,2/10,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC401V 001,Internship in Agribusiness  (Sp, Su, Fa),Internship,Regular Academic Session,1 - 6,3122,Aug 25, 2014,Dec 19, 2014,   - , ,Daniel Rainey,3/10,UGRD,AFLS,AEAB,FAY,course material,
Closed,AGEC4143 001,Agricultural Finance  (Fa),Lecture,Regular Academic Session,3,2166,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  9:40 AM - 10:30 AM,PTSC0009,Bruce Ahrendsen,82/75,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC4143 001,Agricultural Finance  (Fa),Lecture,Regular Academic Session,3,2167,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  9:40 AM - 10:30 AM,PTSC0009,Bruce Ahrendsen,1/5,GRAD,AFLS,AEAB,FAY,course material,
Open,AGEC4163 001,Agricultural and Rural Development  (Fa),Lecture,Regular Academic Session,3,8079,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  8:35 AM - 9:25 AM,WALK0250,Lawton Nalley,4/19,GRAD,AFLS,AEAB,FAY,course material,
Closed,AGEC4163 001,Agricultural and Rural Development  (Fa),Lecture,Regular Academic Session,3,8080,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  8:35 AM - 9:25 AM,WALK0250,Lawton Nalley,61/55,UGRD,AFLS,AEAB,FAY,course material,
Closed,AGEC4313 001,Agricultural Business Management  (Fa),Lecture,Regular Academic Session,3,2168,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  10:45 AM - 11:35 AM,AGRI0332,Michael Popp,36/34,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC4313 001,Agricultural Business Management  (Fa),Lecture,Regular Academic Session,3,2169,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  10:45 AM - 11:35 AM,AGRI0332,Michael Popp,1/5,GRAD,AFLS,AEAB,FAY,course material,
Open,AGEC4381 001,Basis Trading:  Case Study  (Fa),Applied Instruction,Regular Academic Session,1,10363,Aug 25, 2014,Dec 19, 2014,Fri  3:05 PM - 4:05 PM,HOEC0106,Andrew McKenzie,3/5,GRAD,AFLS,AEAB,FAY,course material,
Open,AGEC4381 001,Basis Trading:  Case Study  (Fa),Applied Instruction,Regular Academic Session,1,10364,Aug 25, 2014,Dec 19, 2014,Fri  3:05 PM - 4:05 PM,HOEC0106,Andrew McKenzie,6/15,UGRD,AFLS,AEAB,FAY,course material,
Closed,AGEC4613 001,Political Economy of Agriculture and Food  (Fa),Lecture,Regular Academic Session,3,2170,Aug 25, 2014,Dec 19, 2014,Tue, Thu  11:00 AM - 12:15 PM,AGRI0301A,Eric Wailes,28/20,UGRD,AFLS,AEAB,FAY,course material,
Open,AGEC4613 001,Political Economy of Agriculture and Food  (Fa),Lecture,Regular Academic Session,3,2171,Aug 25, 2014,Dec 19, 2014,Tue, Thu  11:00 AM - 12:15 PM,AGRI0301A,Eric Wailes,6/10,GRAD,AFLS,AEAB,FAY,course material,
